Using specified device: cuda:0
[AGCRN] 参数量: 38,199

>>> Run 1/3  [AGCRN]  开始训练...
| epoch  26 | 145.3s | loss 0.0959 | mae 0.0901 | rmse 0.5296 | da 0.5033 | tda 0.5016 | ic 0.0068 | icir 0.1236
| epoch  27 | 145.3s | loss 0.0945 | mae 0.0868 | rmse 0.5250 | da 0.5029 | tda 0.5026 | ic 0.0053 | icir 0.1144
| epoch  28 | 142.1s | loss 0.0941 | mae 0.0890 | rmse 0.5315 | da 0.5037 | tda 0.5049 | ic 0.0052 | icir 0.1004
| epoch  29 | 145.3s | loss 0.0931 | mae 0.0869 | rmse 0.5256 | da 0.5021 | tda 0.5017 | ic -0.0055 | icir -0.1086
| epoch  30 | 144.7s | loss 0.0930 | mae 0.0867 | rmse 0.5260 | da 0.5034 | tda 0.5003 | ic -0.0007 | icir -0.0134
| epoch  31 | 142.7s | loss 0.0925 | mae 0.0889 | rmse 0.5319 | da 0.5031 | tda 0.5043 | ic 0.0026 | icir 0.0446
| epoch  32 | 145.4s | loss 0.0920 | mae 0.0860 | rmse 0.5278 | da 0.5026 | tda 0.5038 | ic 0.0083 | icir 0.1808
| epoch  33 | 144.6s | loss 0.0913 | mae 0.0863 | rmse 0.5249 | da 0.5024 | tda 0.5005 | ic -0.0023 | icir -0.0442
| epoch  34 | 143.2s | loss 0.0912 | mae 0.0839 | rmse 0.5225 | da 0.5038 | tda 0.5048 | ic 0.0012 | icir 0.0228
| epoch  35 | 145.2s | loss 0.0912 | mae 0.0965 | rmse 0.5703 | da 0.4999 | tda 0.4954 | ic 0.0055 | icir 0.0940
| epoch  36 | 142.4s | loss 0.0906 | mae 0.0890 | rmse 0.5466 | da 0.5008 | tda 0.4990 | ic 0.0026 | icir 0.0519
| epoch  37 | 141.1s | loss 0.0899 | mae 0.0903 | rmse 0.5448 | da 0.5009 | tda 0.5009 | ic 0.0063 | icir 0.1085
| epoch  38 | 144.8s | loss 0.0897 | mae 0.0890 | rmse 0.5441 | da 0.5028 | tda 0.5041 | ic 0.0097 | icir 0.2086
| epoch  39 | 144.6s | loss 0.0894 | mae 0.0848 | rmse 0.5267 | da 0.5030 | tda 0.5030 | ic 0.0082 | icir 0.1740
| epoch  40 | 143.8s | loss 0.0894 | mae 0.0857 | rmse 0.5281 | da 0.5021 | tda 0.4992 | ic 0.0066 | icir 0.1250
| epoch  41 | 144.2s | loss 0.0891 | mae 0.0870 | rmse 0.5357 | da 0.5016 | tda 0.4990 | ic 0.0027 | icir 0.0521
