Using specified device: cuda:0
[TCN] 参数量: 38,017

>>> Run 1/3  [TCN]  开始训练...
| epoch  42 |  53.0s | loss 0.0908 | mae 0.0738 | rmse 0.5012 | da 0.5078 | tda 0.5054 | ic -0.0025 | icir -0.0404
| epoch  43 |  52.9s | loss 0.0909 | mae 0.0749 | rmse 0.5035 | da 0.5103 | tda 0.5055 | ic 0.0081 | icir 0.1131
| epoch  44 |  52.4s | loss 0.0906 | mae 0.0732 | rmse 0.5001 | da 0.5075 | tda 0.5044 | ic 0.0055 | icir 0.0758
| epoch  45 |  51.9s | loss 0.0906 | mae 0.0736 | rmse 0.5011 | da 0.5051 | tda 0.5002 | ic 0.0045 | icir 0.0813
| epoch  46 |  49.1s | loss 0.0909 | mae 0.0744 | rmse 0.5028 | da 0.5097 | tda 0.5034 | ic 0.0085 | icir 0.1223
| epoch  47 |  51.6s | loss 0.0908 | mae 0.0719 | rmse 0.4997 | da 0.5089 | tda 0.5097 | ic 0.0136 | icir 0.2362
| epoch  48 |  53.0s | loss 0.0908 | mae 0.0749 | rmse 0.5025 | da 0.5097 | tda 0.5075 | ic 0.0026 | icir 0.0373
| epoch  49 |  52.9s | loss 0.0907 | mae 0.0721 | rmse 0.4995 | da 0.5015 | tda 0.4975 | ic 0.0028 | icir 0.0472
| epoch  50 |  52.4s | loss 0.0909 | mae 0.0722 | rmse 0.4997 | da 0.5062 | tda 0.5046 | ic 0.0064 | icir 0.1076
Run 3 Final Test [TCN]: MAE 0.0892 | RMSE 0.6623 | DA 0.5052 | tDA 0.5025 | IC 0.0069 | ICIR 0.1089

=======================================================
[TCN]  Summary over 3 runs
=======================================================
Metric     | Mean       | Std       
--------------------------------------
MAE        | 0.0894     | 0.0002    
RMSE       | 0.6627     | 0.0003    
DA         | 0.5064     | 0.0008    
TDA        | 0.5048     | 0.0024    
IC         | 0.0073     | 0.0084    
ICIR       | 0.1189     | 0.1421    
=======================================================

[导出] 核心指标已写入 output/latest_metrics_tcn.json

