Using specified device: cuda:0
[LSTM] 参数量: 218,527

>>> Run 1/3  [LSTM]  开始训练...
| epoch  38 |  17.4s | loss 0.1000 | mae 0.0959 | rmse 0.5372 | da 0.5093 | tda 0.5104 | ic 0.0217 | icir 0.3919
| epoch  39 |  18.0s | loss 0.0997 | mae 0.0950 | rmse 0.5372 | da 0.5093 | tda 0.5099 | ic 0.0188 | icir 0.3747
| epoch  40 |  19.0s | loss 0.0990 | mae 0.0947 | rmse 0.5325 | da 0.5096 | tda 0.5109 | ic 0.0199 | icir 0.3530
| epoch  41 |  19.0s | loss 0.0985 | mae 0.0934 | rmse 0.5300 | da 0.5094 | tda 0.5113 | ic 0.0175 | icir 0.3211
| epoch  42 |  18.7s | loss 0.0984 | mae 0.0923 | rmse 0.5292 | da 0.5094 | tda 0.5111 | ic 0.0209 | icir 0.3737
| epoch  43 |  19.0s | loss 0.0981 | mae 0.0930 | rmse 0.5321 | da 0.5098 | tda 0.5124 | ic 0.0192 | icir 0.3511
| epoch  44 |  19.0s | loss 0.0974 | mae 0.0926 | rmse 0.5303 | da 0.5087 | tda 0.5117 | ic 0.0176 | icir 0.3515
| epoch  45 |  18.7s | loss 0.0973 | mae 0.0930 | rmse 0.5324 | da 0.5088 | tda 0.5101 | ic 0.0131 | icir 0.2596
| epoch  46 |  19.1s | loss 0.0971 | mae 0.0927 | rmse 0.5294 | da 0.5088 | tda 0.5109 | ic 0.0163 | icir 0.3102
| epoch  47 |  19.1s | loss 0.0964 | mae 0.0917 | rmse 0.5277 | da 0.5093 | tda 0.5104 | ic 0.0160 | icir 0.3104
| epoch  48 |  18.3s | loss 0.0959 | mae 0.0915 | rmse 0.5267 | da 0.5092 | tda 0.5096 | ic 0.0163 | icir 0.3344
| epoch  49 |  18.9s | loss 0.0958 | mae 0.0927 | rmse 0.5310 | da 0.5096 | tda 0.5112 | ic 0.0200 | icir 0.3583
| epoch  50 |  19.0s | loss 0.0957 | mae 0.0919 | rmse 0.5283 | da 0.5093 | tda 0.5116 | ic 0.0217 | icir 0.4123
Run 2 Final Test [LSTM]: MAE 0.1130 | RMSE 0.7185 | DA 0.5062 | tDA 0.5097 | IC 0.0149 | ICIR 0.2634
[LSTM] 参数量: 218,527

>>> Run 3/3  [LSTM]  开始训练...
| epoch   1 |  18.6s | loss 0.5551 | mae 0.3858 | rmse 1.5785 | da 0.5059 | tda 0.5044 | ic 0.0137 | icir 0.2444
| epoch   2 |  19.1s | loss 0.3151 | mae 0.2982 | rmse 1.2184 | da 0.5075 | tda 0.5044 | ic 0.0153 | icir 0.3284
| epoch   3 |  19.0s | loss 0.2611 | mae 0.2568 | rmse 1.0675 | da 0.5066 | tda 0.5047 | ic 0.0098 | icir 0.2063
| epoch   4 |  18.7s | loss 0.2306 | mae 0.2252 | rmse 0.9623 | da 0.5068 | tda 0.5033 | ic 0.0093 | icir 0.2015
| epoch   5 |  18.5s | loss 0.2004 | mae 0.1997 | rmse 0.8982 | da 0.5071 | tda 0.5058 | ic 0.0134 | icir 0.2708
| epoch   6 |  19.1s | loss 0.1817 | mae 0.1834 | rmse 0.8510 | da 0.5070 | tda 0.5058 | ic 0.0154 | icir 0.2928
| epoch   7 |  18.6s | loss 0.1694 | mae 0.1742 | rmse 0.8161 | da 0.5066 | tda 0.5064 | ic 0.0145 | icir 0.2644
